Date,Open,High,Low,Close,Volume,Change_Pct,Daily_Return,High_Low_Range,MA_7,MA_21,MA_Ratio,Volatility_7,RSI_14,Volume_Change,Target
2020-01-22,8733.0,8805.4,8610.8,8678.5,509060.0,-0.62,-0.6195176694226312,2.242322982082161,8759.357142857143,8207.114285714286,1.067288310838332,1.4649215929458836,62.929845819579626,-5.764531654942617,0
2020-01-23,8678.5,8687.3,8309.6,8405.1,722670.0,-3.15,-3.1503139943538594,4.493700253417555,8713.385714285714,8275.595238095239,1.0529013881895992,1.8331517723613262,61.48601755460298,41.9616548147566,1
2020-01-24,8404.9,8522.0,8242.6,8439.9,617020.0,0.41,0.4140343362958099,3.3104657638123633,8645.785714285714,8327.823809523808,1.0381806714496384,1.5037790091408547,55.90764628902596,-14.619397512004095,0
2020-01-25,8439.9,8447.6,8277.2,8341.6,444000.0,-1.17,-1.1647057429590268,2.0427735686199244,8563.685714285713,8373.766666666666,1.0226802411840605,1.4649790916420644,57.650971131138846,-28.041230430131925,1
2020-01-26,8341.6,8607.8,8304.9,8607.8,468340.0,3.19,3.191234295578771,3.5189014614651786,8549.628571428571,8432.590476190477,1.0138792575743543,1.9798603913715942,59.648236590742066,5.481981981981976,1
2020-01-27,8608.1,8983.1,8585.6,8866.6,706450.0,3.01,3.006575431585312,4.483116414409131,8581.728571428572,8485.32857142857,1.0113607857596223,2.276657119770613,65.9986441826964,50.84126916342828,1
2020-01-28,8866.6,9389.5,8866.6,9377.3,954200.0,5.76,5.759817742990547,5.576231964424724,8673.828571428572,8543.5,1.0152547049135099,3.0641385758772315,62.72815939807716,35.069714771038285,0
2020-01-29,9377.3,9428.7,9250.9,9298.9,749880.0,-0.84,-0.8360615528990145,1.9120541139274656,8762.457142857142,8602.514285714287,1.0185925709427142,3.084971685829126,60.821399621723884,-21.41270173967722,1
2020-01-30,9299.1,9569.0,9209.2,9507.3,765210.0,2.24,2.2411252943896454,3.7844603620375845,8919.914285714285,8681.795238095237,1.0274273973399182,2.480768901467821,66.69233401779604,2.0443270923347745,0
2020-01-31,9508.3,9525.0,9222.3,9349.1,633370.0,-1.66,-1.6639845171604883,3.237744809660831,9049.8,8737.128571428571,1.035786520252649,2.7807022502508825,59.43886387253206,-17.229257328053738,1
2020-02-01,9349.3,9458.8,9301.5,9381.6,458420.0,0.35,0.3476270443144358,1.6766862795258728,9198.371428571429,8801.771428571428,1.0450591114775598,2.5910007505426407,59.94698362478092,-27.622085037182053,0
2020-02-02,9381.5,9465.4,9183.1,9334.9,683370.0,-0.5,-0.49778289417584665,3.0241352344427823,9302.242857142857,8856.404761904761,1.0503407542026353,2.6171324836814893,64.44955182716615,49.07072117272371,0
2020-02-03,9334.6,9582.8,9243.1,9296.6,701390.0,-0.41,-0.4102882730398716,3.6540240518038734,9363.671428571428,8912.842857142858,1.0505819050839957,2.54021283529545,65.22912305187256,2.636931676836851,0
2020-02-04,9296.5,9347.5,9193.9,9193.9,651680.0,-1.1,-1.1047049458942082,1.6706729461925882,9337.471428571427,8930.209523809524,1.045604966342175,1.2727243938912083,60.67083044182281,-7.087355109140425,1
2020-02-05,9194.1,9726.8,9179.9,9611.8,771460.0,4.54,4.545405105559119,5.689881187706773,9382.171428571428,8967.995238095238,1.0461838102585967,2.179521368867287,68.47899259493923,18.380186594647686,1
2020-02-06,9611.8,9854.9,9536.1,9772.0,778670.0,1.67,1.6667013462619007,3.2623823168235697,9419.985714285713,9017.761904761905,1.044603507363774,2.112558696959144,78.33423158243858,0.934591553677433,1
2020-02-07,9771.9,9872.5,9738.7,9818.6,608960.0,0.48,0.4768726975030724,1.3627197360112366,9487.057142857142,9060.880952380952,1.0470347411820042,1.9069083926939139,78.43970460827596,-21.79485533024259,1
