Model,Accuracy,Precision,Recall,F1-Score
Logistic Regression,0.533724340175953,0.7894736842105263,0.16574585635359115,0.273972602739726
Random Forest,0.5278592375366569,0.6428571428571429,0.24861878453038674,0.35856573705179284
Gradient Boosting,0.49853372434017595,0.5520833333333334,0.292817679558011,0.38267148014440433
